city,floor,id,lat,lng,osm_amenity_points_in_0.001,osm_amenity_points_in_0.005,osm_amenity_points_in_0.0075,osm_amenity_points_in_0.01,osm_building_points_in_0.001,osm_building_points_in_0.005,osm_building_points_in_0.0075,osm_building_points_in_0.01,osm_catering_points_in_0.001,osm_catering_points_in_0.005,osm_catering_points_in_0.0075,osm_catering_points_in_0.01,osm_city_closest_dist,osm_city_nearest_name,osm_city_nearest_population,osm_crossing_closest_dist,osm_crossing_points_in_0.001,osm_crossing_points_in_0.005,osm_crossing_points_in_0.0075,osm_crossing_points_in_0.01,osm_culture_points_in_0.001,osm_culture_points_in_0.005,osm_culture_points_in_0.0075,osm_culture_points_in_0.01,osm_finance_points_in_0.001,osm_finance_points_in_0.005,osm_finance_points_in_0.0075,osm_finance_points_in_0.01,osm_healthcare_points_in_0.005,osm_healthcare_points_in_0.0075,osm_healthcare_points_in_0.01,osm_historic_points_in_0.005,osm_historic_points_in_0.0075,osm_historic_points_in_0.01,osm_hotels_points_in_0.005,osm_hotels_points_in_0.0075,osm_hotels_points_in_0.01,osm_leisure_points_in_0.005,osm_leisure_points_in_0.0075,osm_leisure_points_in_0.01,osm_offices_points_in_0.001,osm_offices_points_in_0.005,osm_offices_points_in_0.0075,osm_offices_points_in_0.01,osm_shops_points_in_0.001,osm_shops_points_in_0.005,osm_shops_points_in_0.0075,osm_shops_points_in_0.01,osm_subway_closest_dist,osm_train_stop_closest_dist,osm_train_stop_points_in_0.005,osm_train_stop_points_in_0.0075,osm_train_stop_points_in_0.01,osm_transport_stop_closest_dist,osm_transport_stop_points_in_0.005,osm_transport_stop_points_in_0.0075,osm_transport_stop_points_in_0.01,per_square_meter_price,reform_count_of_houses_1000,reform_count_of_houses_500,reform_house_population_1000,reform_house_population_500,reform_mean_floor_count_1000,reform_mean_floor_count_500,reform_mean_year_building_1000,reform_mean_year_building_500,region,total_square,street,date,realty_type,price_type
Красноярск,,COL_62,56.06361499599455,92.95842777343152,0,7,14,26,0,0,0,0,0,0,0,2,7.795659272639967,Красноярск,1095286.0,0.0413225658328048,2,6,25,35,0,0,0,2,0,1,2,3,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,5,10,15,1.087100718944528,2.281425388372986,0,0,0,0.0528085513334676,7,15,21,103120.69731041184,95,31,2670.0,940.0,7.136842105263157,7.612903225806452,1976.684210526316,1980.483870967742,Красноярский край,106.3511039591534,S5845,2020-01-05,110,1
Саратов,,COL_71,51.534581216805535,46.02054934002936,13,198,345,462,0,0,0,0,4,44,66,89,0.9871604317705798,Саратов,842097.0,0.1449362880556655,0,4,34,59,0,1,6,9,0,13,22,27,7,17,27,4,7,9,2,5,7,11,16,20,1,11,21,28,8,125,218,286,357.4252393143544,1.924420729812792,0,0,0,0.0454507111663388,22,34,45,24874.371004043016,502,104,4886.0,943.0,4.144607843137255,4.1645569620253164,1940.5915492957752,1939.3488372093025,Саратовская область,175.0396019779681,S27968,2020-01-05,10,1
Красноярск,,COL_140,56.0268838654899,92.8183232708725,3,15,23,33,0,0,0,0,0,1,3,4,3.730567798788991,Красноярск,1095286.0,0.1415255818101551,0,16,35,56,0,0,0,0,2,3,3,3,0,1,1,3,3,3,0,0,1,2,2,2,0,2,2,3,1,5,10,18,1.6213528189414372,0.579095891165721,0,0,2,0.2237867632448969,6,11,18,80058.14854727188,175,66,4282.0,1445.0,6.8514285714285705,5.742424242424242,1976.7142857142856,1972.878787878788,Красноярский край,89.53492093022255,S23597,2020-01-05,10,1
Иркутск,,COL_202,52.27552834048471,104.25144404269992,0,10,26,40,0,1,1,1,0,2,6,8,2.344310130438452,Иркутск,623562.0,0.2814913666379436,0,6,6,6,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,1,2,1,2,2,0,1,1,1,0,5,11,21,61.5625456128481,0.813594370691792,0,0,2,0.2660671021572609,8,11,19,24649.765044698048,230,56,1887.0,612.0,4.597222222222221,5.469387755102041,1968.0981308411208,1975.530612244898,Иркутская область,419.5577516153435,S10587,2020-01-05,10,1
Белгород,,COL_207,50.57654500884079,36.58419675986474,4,48,73,92,0,0,6,6,1,7,11,15,2.1701838752130618,Белгород,384425.0,0.065996238477773,1,19,28,46,1,5,10,11,0,2,2,4,3,3,4,2,2,2,0,2,2,10,11,15,0,0,0,0,1,19,29,36,555.4119478106455,2.5053300522505646,0,0,0,0.0925830208438829,7,17,22,39135.22832249566,131,35,3837.0,1073.0,9.157480314960631,9.088235294117649,1983.1259842519685,1980.470588235294,Белгородская область,1098.703184907291,S11220,2020-01-05,10,1
Санкт-Петербург,2.0,COL_265,59.9303329900761,30.31318220108332,18,430,731,1160,0,0,1,3,8,157,248,393,1.1547889689636646,Санкт-Петербург,5381736.0,0.0247524212580151,3,46,89,161,0,4,12,39,0,12,20,33,15,20,43,8,25,54,39,71,117,9,28,39,1,57,99,162,16,273,436,650,0.2501430408624321,1.4193477042128475,0,0,0,0.2030571512506948,24,35,74,155006.5003876193,235,82,4758.0,1802.0,4.579487179487179,4.579710144927536,1850.051282051282,1836.25,Санкт-Петербург,104.20208158760607,S6752,2020-01-05,10,1
Калуга,,COL_280,54.52717168149059,36.29505822212121,4,20,41,84,0,0,1,2,0,1,5,10,2.7335926906692154,Калуга,342936.0,0.1101409191677755,0,22,45,79,0,1,1,2,0,0,1,2,1,3,4,4,5,5,0,0,0,0,1,3,0,4,4,9,4,15,28,64,140.06858370960532,10.85519092021299,0,0,0,0.0264643206618715,4,19,24,25532.44930701285,136,26,1679.0,258.0,4.2,3.2692307692307687,1968.0461538461536,1971.96,Калужская область,1376.8361811784523,S6703,2020-01-05,10,1
Сургут,,COL_358,61.25132700040184,73.37199240034334,0,27,77,125,0,0,0,0,0,6,15,21,1.1282532446569054,Сургут,380632.0,0.4508314073297788,0,3,22,51,0,1,4,4,0,0,6,10,0,2,3,0,1,2,0,0,0,3,8,13,0,6,10,18,0,17,40,68,695.6114088876526,4.9612073611975305,0,0,0,0.4311475350301384,3,10,12,39798.935589459375,113,37,2581.0,960.0,6.117117117117117,5.45945945945946,1983.294642857143,1981.1891891891887,Ханты-Мансийский АО,338.77790449177064,S27593,2020-01-05,10,1
Иркутск,,COL_430,52.26411516083745,104.33133720692877,0,7,27,52,0,0,0,0,0,0,2,6,4.71302047830572,Иркутск,623562.0,0.0472188642890782,3,8,15,19,0,0,0,0,0,0,1,2,0,1,2,1,2,3,0,1,3,1,2,2,0,0,0,1,0,5,17,30,60.470962518518704,4.768997325283917,0,0,0,0.0524211616278752,6,12,18,51741.80637511423,225,57,2257.0,306.0,6.367021276595745,4.5625,1982.227027027028,1981.516129032258,Иркутская область,207.5304430261359,S19643,2020-01-05,10,1
Иркутск,,COL_470,52.34569173905144,104.22471068775673,0,5,6,10,0,0,0,1,0,0,0,0,7.036289830663622,Иркутск,623562.0,0.2768819094388888,0,4,4,5,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,4,5,6,56.50744864673104,0.8344387075392695,0,0,0,0.1650515258901,10,12,18,34528.53486783995,161,44,2139.0,718.0,5.113207547169812,6.767441860465118,1971.81045751634,1982.5277777777767,Иркутская область,130.96414363679858,S28820,2020-01-05,10,1
Кемерово,,COL_551,55.348159528348,86.15344206180386,1,9,34,50,0,0,0,0,0,1,1,1,4.191675182626374,Кемерово,558662.0,0.2776942062442369,0,3,8,18,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1,6,1,6,27,36,204.6528479827581,1.2733849677249858,0,0,0,0.1330802606126196,3,7,13,27136.9875714778,137,40,3953.0,1175.0,7.095588235294117,7.333333333333332,1975.279411764705,1976.333333333333,Кемеровская область,114.86168064122596,S18509,2020-01-05,10,1
Иркутск,1,COL_742,52.2560967752941,104.3348784637344,2,12,26,43,0,0,0,0,0,2,3,4,5.0646973229469125,Иркутск,623562.0,0.3893994059105003,0,0,4,11,0,0,0,0,1,1,1,2,2,2,2,0,1,2,0,1,2,1,1,3,0,0,1,1,1,6,15,26,61.19581683825432,4.505157579892356,0,0,0,0.2655789809432944,1,7,13,41685.89247972132,192,27,2445.0,516.0,7.548192771084339,7.423076923076922,1991.6047904191612,1991.3461538461536,Иркутская область,112.4361197803323,S3265,2020-01-05,100,1
Новокузнецк,,COL_745,53.75207593107079,87.11418727550009,0,30,77,103,0,0,0,0,0,2,8,10,1.5077052417609946,Новокузнецк,552105.0,0.32902319062554,0,2,3,27,0,1,7,10,0,2,3,6,0,1,6,10,17,19,0,0,0,1,2,2,1,2,4,4,0,13,35,46,303.4449010018484,5.472707185786042,0,0,0,0.3332925608545029,2,11,29,29552.462567079823,193,54,3765.0,1432.0,5.044943820224719,4.5769230769230775,1951.5,1943.2549019607843,Кемеровская область,354.0821674758315,S25202,2020-01-05,110,1
Новокузнецк,,COL_762,53.76541589618663,87.11303621960226,0,14,41,75,0,0,0,0,0,1,1,5,1.746470957140238,Новокузнецк,552105.0,0.2410420061446002,0,1,6,21,0,2,5,6,0,0,0,3,2,2,3,5,18,22,0,0,0,1,2,3,0,1,4,7,0,1,10,28,302.86145605363134,4.831567719212472,0,0,0,0.0823477620122269,3,7,23,36507.88978987341,182,43,3512.0,725.0,4.414772727272728,4.642857142857143,1949.7329545454545,1949.571428571429,Кемеровская область,208.25635345565567,S18724,2020-01-05,110,1
Калуга,,COL_902,54.5677963352744,36.22643267336936,2,25,28,32,0,0,0,0,0,1,1,1,6.649100134672421,Калуга,342936.0,0.1491616643870905,0,3,4,5,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,22,26,137.9812117987785,7.459239292767607,0,0,0,0.1845811547725925,1,3,5,25464.45529774337,76,49,1415.0,1048.0,4.881578947368421,5.408163265306122,1979.8552631578948,1984.6938775510205,Калужская область,152.17289962386897,S6838,2020-01-05,10,1
Белгород,,COL_918,50.603327266353766,36.59161236765104,6,65,121,169,0,1,3,3,4,18,33,46,0.5908851280736298,Белгород,384425.0,0.0682936953001063,2,31,64,108,1,4,9,11,0,2,9,11,3,5,9,6,14,21,1,3,4,0,1,2,2,6,9,13,1,27,40,55,552.6585595095318,1.4564750426853548,0,0,0,0.0494965954347039,12,15,28,49750.140056399454,192,57,3302.0,873.0,5.586956521739131,5.581818181818181,1969.545945945946,1968.821428571429,Белгородская область,2298.787498293465,S17070,2020-01-05,10,1
Пермь,,COL_930,57.99956698635609,56.23998314714216,0,47,125,269,0,0,0,0,0,11,28,64,1.4300428413617063,Пермь,1055397.0,0.0798554110359397,2,25,60,124,0,0,7,16,0,4,6,18,4,6,10,1,3,4,2,4,8,4,6,7,1,3,6,12,0,25,66,143,272.0750839524675,2.0913104933060245,0,0,0,0.080955374377874,5,15,28,42661.16406010925,153,48,2653.0,722.0,6.376712328767122,6.666666666666668,1969.56,1971.340425531915,Пермский край,7283.533087896812,S12332,2020-01-05,110,1
Пермь,,COL_938,57.99976759259454,56.24701020225128,12,84,154,262,0,0,0,0,5,15,31,47,1.645732374593278,Пермь,1055397.0,0.0216511230803908,6,40,114,181,2,6,10,23,1,3,11,16,2,5,10,1,6,10,0,1,2,1,4,8,2,4,6,13,4,55,84,142,271.3845464804922,2.2175807158409704,0,0,0,0.0972642541090977,7,29,42,49749.629868790966,197,69,3203.0,1078.0,5.465240641711231,5.323529411764706,1961.5510204081636,1961.159420289855,Пермский край,240.7254090449587,S10946,2020-01-05,10,1
Владивосток,,COL_952,43.11451045233217,131.8882979513757,13,192,294,372,0,0,0,0,3,57,95,109,0.0526675743487604,Владивосток,604901.0,0.1208738124453942,0,19,56,73,0,5,9,15,0,24,30,35,4,8,17,8,19,24,9,17,23,1,1,3,1,15,17,26,8,97,128,156,2272.600985146672,0.5544950636428713,0,3,3,0.043798152974925,16,23,37,88441.30967286654,203,67,1598.0,431.0,5.401273885350318,4.26,1948.2568306010928,1933.6774193548388,Приморский край,85.65002065232852,S5203,2020-01-05,110,1
Петрозаводск,,COL_956,61.760649312969576,34.32028767018582,0,3,13,30,0,0,0,0,0,0,1,3,4.749811954801944,Петрозаводск,280170.0,0.1391141582763108,0,5,12,17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,21,292.24969037499795,91.19975882823891,0,0,0,0.1337036467898495,2,7,8,27631.857175815298,52,22,1582.0,584.0,8.56,8.142857142857142,1991.7843137254904,1989.904761904762,Карелия,279.3152827510688,S13436,2020-01-05,10,1
Белгород,,COL_1010,50.56595492695061,36.57670468595418,0,6,22,67,0,0,0,0,0,0,4,12,3.3033930891111862,Белгород,384425.0,0.1353455619213787,0,1,18,54,0,0,2,7,0,0,1,5,0,0,5,0,0,1,0,0,0,0,1,6,0,0,0,3,0,5,11,28,556.5417359828292,3.5233457019896264,0,0,0,0.1101803291441457,4,8,21,34621.366714423,88,30,2999.0,892.0,10.28735632183908,10.2,1991.5977011494251,1992.333333333333,Белгородская область,411.3355812168821,S6814,2020-01-05,10,1
Нижний Новгород,,COL_1033,56.32402151560576,44.037190367898205,5,47,101,152,0,0,0,1,1,8,12,17,2.0123437055188504,Нижний Новгород,1252236.0,0.0153541506426083,10,24,33,51,0,1,1,3,1,2,2,4,1,1,4,4,33,38,0,0,1,4,8,12,0,2,4,7,2,22,36,65,2.67193042135735,5.43301048907426,0,0,0,0.0297820260469905,7,16,25,63964.147924565455,158,70,1668.0,457.0,5.224806201550388,3.938775510204082,1955.9,1939.0625,Нижегородская область,720.1534217937905,S17519,2020-01-05,100,1
Обнинск,,COL_1094,55.120604410702285,36.58651861498721,4,23,29,55,0,0,0,0,1,3,3,9,3.3706071109152167,Обнинск,117419.0,0.0779111877669723,1,5,14,30,0,0,0,2,0,0,1,5,4,4,6,2,2,3,0,0,0,0,0,0,0,1,2,3,2,12,14,27,74.25623250542773,3.850281163622807,0,0,0,0.1067836327165081,3,7,10,72502.3256211137,84,34,3898.0,915.0,15.08641975308642,7.875,1993.690476190476,1988.1470588235293,Калужская область,542.1205411451496,S6089,2020-01-05,110,1
Брянск,,COL_1151,53.21368084513605,34.41405396680886,0,16,24,28,0,0,0,0,0,3,3,3,4.6947803738224,Брянск,406553.0,0.1237863906794353,0,10,13,17,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,10,17,20,328.9203558137136,0.4060351593421664,0,3,3,0.3174990240264117,2,2,4,25322.52949778728,134,52,1509.0,472.0,3.8134328358208953,3.6346153846153846,1966.8507462686568,1963.192307692308,Брянская область,63.89567045983236,S12120,2020-01-05,10,1
Белгород,,COL_1156,50.559867145703535,36.56837548158385,0,26,53,96,0,0,0,1,0,6,10,16,3.9670346640379175,Белгород,384425.0,0.2448990475664382,0,15,43,64,0,0,0,2,0,2,2,3,3,7,7,1,1,1,0,0,0,0,1,2,0,0,0,2,0,12,26,58,557.0847303481004,4.376644147783518,0,0,0,0.2778446226877748,10,24,31,55041.70401483232,123,34,4123.0,1536.0,10.272727272727272,10.606060606060606,1996.1239669421489,1994.5454545454545,Белгородская область,485.1775663195983,S29205,2020-01-05,10,1
Покачи,,COL_1223,61.74669973682228,75.60366814096841,0,2,10,18,0,0,0,0,0,0,0,0,104.4793214592532,Нижневартовск,277668.0,0.257847566732101,0,1,12,18,0,0,0,1,0,0,2,2,0,0,1,2,3,3,0,1,1,0,1,1,0,1,1,4,0,0,2,7,762.1801837604033,62.34430423987772,0,0,0,0.0453008468643364,2,9,12,28024.390094325237,31,14,780.0,305.0,5.0,5.0,1993.1935483870968,1995.7142857142856,Ханты-Мансийский АО,67.76240245044747,S12711,2020-01-05,110,1
